kanji	yomi
対応型共同生活介護	たいおうがたきょうどうせいかつかいご
対策	たいさく
対象	たいしょう
対象家族	たいしょうかぞく
対象者	たいしょうしゃ
専念	せんねん
専門	せんもん
専門的	せんもんてき
専門職	せんもんしょく
尊厳	そんげん
尊重	そんちょう
導入	どうにゅう
小	ちいさ
小学生	しょうがくせい
小脳	しょうのう
小腸	しょうちょう
小規模	しょうきぼ
小遣	こづかい
少な	すくな
少人数	しょうにんずう
少量	しょうりょう
就寝	しゅうしん
尺度	しゃくど
尿失禁	にょうしっきん
尿意	にょうい
尿量	にょうりょう
局部床	きょくぶしょう
居住	きょじゅう
居宅	きょたく
居宅介護	きょたくかいご
居宅介護事業所	きょたくかいごじぎょうしょ
居宅療養管理指導	きょたくりょうようかんりしどう
居室	きょしつ
居室環境	きょしつかんきょう
屈曲	くっきょく
届	とど
屋	や
展開	てんかい
巡回	じゅんかい
左側	ひだりがわ
左手	ひだりて
左片麻痺	ひだりかたまひ
左足	ひだりあし
市	し
市民的	しみんてき
市町村	しちょうそん
布団	ふとん
希望	きぼう
師	し
帰り	かえり
帰宅	きたく
常時	じょうじ
常温保存	じょうおんほぞん
常駐	じょうちゅう
幅	はば
平均	へいきん
平成	へいせい
平等性	びょうどうせい
平等権	びょうどうけん
年	ねん
年前	ねんまえ
年度	ねんど
年金	ねんきん
年金保険	ねんきんほけん
年金制度	ねんきんせいど
幻視	げんし
広	ひろ
床	ゆか
店	みせ
度程度倒	どていどたおれ
座	ざ
座薬	ざやく
庭	にわ
廃棄	はいき
廊下	ろうか
延長	えんちょう
延髄	えんずい
引	ひ
引き上	ひきあ
引退	いんたい
引退後	いんたいご
弱者	じゃくしゃ
張	は
強	つよ
当	とう
当て	あて
当事者	とうじしゃ
当日	とうじつ
形成	けいせい
影響	えいきょう
役割	やくわり
役員	やくいん
役所	やくしょ
役目	やくめ
役立	やくだち
待	ま
後	あと
後見人	こうけんにん
後輩	こうはい
後遺症	こういしょう
後鼻道	こうびどう
徐	じょ
徐々	じょじょ
従業員	じゅうぎょういん
得	え
復帰	ふっき
徴候	ちょうこう
徴収	ちょうしゅう
心	こころ
心停止	しんていし
心機能	しんきのう
心気妄想	しんきもうそう
心理	しんり
心理的	しんりてき
心疾患	しんしっかん
心筋梗塞	しんきんこうそく
心臓	しんぞう
心身	しんしん
心身機能	しんしんきのう
心配	しんぱい
必要	ひつよう
必須	ひっす
忘れ	わすれ
応	おう
応益負担	おうえきふたん
応答	おうとう
快適	かいてき
念	ねん
怒	いか
怒鳴	どな
思	おも
思想	しそう
急	きゅう
急激	きゅうげき
性	せい
性交痛	せいこうつう
恐怖	きょうふ
恒常性	こうじょうせい
息切	いきぎ
息子	むすこ
患側	かんそく
悩	なや
悪	わる
悲嘆	ひたん
情動	じょうどう
情報	じょうほう
意向	いこう
意味	いみ
意図	いと
意思	いし
意思決定	いしけってい
意思決定支援	いしけっていしえん
意思決定支援者	いしけっていしえんしゃ
意思疎通	いしそつう
意思疎通支援用具	いしそつうしえんようぐ
意思表示	いしひょうじ
意欲	いよく
意見	いけん
意識	いしき
感	かん
感情	かんじょう
感染	かんせん
感染予防	かんせんよぼう
感覚	かんかく
感覚機能	かんかくきのう
慣	なれ
憤慨	ふんがい
成人	せいじん
成年後見制度	せいねんこうけんせいど
成熟	せいじゅく
成長	せいちょう
戸	と
戸惑	とまど
戻	もどり
所	ところ
所轄庁	しょかつちょう
扁桃体	へんとうたい
手	て
手前	てまえ
手指	てゆび
手掌	しゅしょう
手段的	しゅだんてき
手話	しゅわ
手足	てあし
手順	てじゅん
打	う
打ち	うち
扱	あつか
技法	ぎほう
技術	ぎじゅつ
把握	はあく
抑	おさ
抑うつ	よくうつ
抑制	よくせい
抜	ぬ
抜去	ばっきょ
抱	だ
押	お
押さ	おさ
担当	たんとう
担当者	たんとうしゃ
担当者会議	たんとうしゃかいぎ
拒否	きょひ
拒絶的	きょぜつてき
拭	ふき
持	もち
持病	じびょう
指	ゆび
指先	ゆびさき
指定	してい
指導	しどう
指導者	しどうしゃ
指指	ゆびさ
指摘	してき
指示	しじ
挿入	そうにゅう
捨て	すて
掃き	はき
掃除	そうじ
排便	はいべん
排出	はいしゅつ
排泄	はいせつ
排泄後	はいせつご
探	さが
接	せっ
接種	せっしゅ
接触型	せっしょくがた
控	ひか
推進	すいしん
措置	そち
描	えがき
提供	ていきょう
提供責任者	ていきょうせきにんしゃ
提唱	ていしょう
提案	ていあん
換気	かんき
援助	えんじょ
損傷部位	そんしょうぶい
搬送	はんそう
携帯用会話補助装置	けいたいようかいわほじょそうち
摂取	せっしゅ
支	ささ
支度	したく
支払	しはらい
支持的	しじてき
支援	しえん
支援方針	しえんほうしん
支援法	しえんほう
支点	してん
支給	しきゅう
支配	しはい
支障	ししょう
改修	かいしゅう
改善	かいぜん
改訂長谷川式認知症	かいていはせがわしきにんちしょう
改革	かいかく
放課後等	ほうかごとう
政治	せいじ
敏感	びんかん
救急	きゅうきゅう
救急搬送	きゅうきゅうはんそう
救急蘇生法	きゅうきゅうそせいほう
教	おしえ
教室	きょうしつ
散歩	さんぽ
敬老	けいろう
数	かず
数年	すうねん
数日前	すうじつまえ
数日間観察	すうじつかんかんさつ
数週間	すうしゅうかん
整	ととのえ
整容	せいよう
整理	せいり
敷	しき
敷地内	しきちない
文化	ぶんか
料理	りょうり
新	あたら
新聞紙	しんぶんし
方	かた
方法	ほうほう
施策	しさく
施設	しせつ
施設入所支援	しせつにゅうしょしえん
施設利用	しせつりよう
施設長	しせつちょう
旅行	りょこう
日	ひ
日中	にっちゅう
日中同	にっちゅうおな
日分	ひぶん
日常	にちじょう
日常生活	にちじょうせいかつ
日常生活動作	にちじょうせいかつどうさ
日常生活自立度判定基準	にちじょうせいかつじりつどはんていきじゅん
日常行動	にちじょうこうどう
日本	にほん
日本人	にほんじん
日本国憲法	にほんこくけんぽう
日本語	にほんご
日課	にっか
日間	にちかん
早	はや
明	あかる
明確	めいかく
明確化	めいかくか
昔	むかし
昨年	さくねん
昼夜	ちゅうや
昼寝	ひるね
昼間	ひるま
昼間眠	ひるまねむ
昼食	ちゅうしょく
昼食時	ちゅうしょくじ
時に	じに
時間	じかん
時間以上	じかんいじょう
時間帯	じかんたい
時間未満	じかんみまん
普及啓発	ふきゅうけいはつ
暖房	だんぼう
暗順応	あんじゅんのう
暮	くら
書く	かく
最	もっと
最優先	さいゆうせん
最初	さいしょ
最大	さいだい
最大限	さいだいげん
最小限	さいしょうげん
最後	さいご
最期	さいご
最表面	さいひょうめん
最近	さいきん
月から	げつから
月前	げつまえ
月後	げつご
月程度	つきていど
有効	ゆうこう
有料	ゆうりょう
有料老人	ゆうりょうろうじん
服用	ふくよう
服薬	ふくやく
望	のぞみ
朝起	あさおき
未婚	みこん
未満	みまん
未開封	みかいふう
本人	ほんんにん
本人発信支援	ほんにはっしんしえん
本吸	ほんすい
杖	つえ
杖歩行	つえほこう
来	き
来店	らいてん
杯	はい
東京	とうきょう
柄	がら
柔	やわらか
柱	はしら
柵	さく
栄養摂取	えいようせっしゅ
栄養素	えいようそ
栄養障害	えいようしょうがい
植木	うえき
検討	けんとう
業	ぎょう
業務	ぎょうむ
業務上	ぎょうむじょう
業務継続計画	ぎょうむけいぞくけいかく
楽	たのしい
構築	こうちく
構造	こうぞう
構音障害	こうおんしょうがい
様々	さまざま
様子	ようす
様態	ようだい
標準的	ひょうじゅんてき
権利	けんり
横	よこ
横行結腸	おうこうけっちょう
機会	きかい
機構	きこう
機能	きのう
機能低下	きのうていか
機能停止	きのうていし
機能局在	きのうきょくざい
機能訓練	きのうくんれん
機能障害	きのうしょうがい
機関	きかん
欠損	けっそん
次	つぎ
欲求	よっきゅう
欲求階層説	よっきゅうかいそうせつ
歌	うた
止	とめ
正し	ただし
歩き	あるき
歩幅	ほはば
歩行	ほこう
歩行障害	ほこうしょうがい
歯	は
歯周	ししゅう
歯周病	ししゅうびょう
歯科衛生士	しかえいせいし
歯髄	しずい
歳	さい
歳以上	さいいじょう
歳半	さいはん
死	し
死別	しべつ
死後	しご
残	のこ
残存能力	ざんぞんのうりょく
段階	だんかい
母	はは
母親	ははおや
母語	ぼご
毎回固定	まいかいこてい
毎年	まいとし
毎年施策	まいとししさく
毎日	まいにち
毎日行	まいにちおこな
毎晩	まいばん
比	くら
比較	ひかく
比較的	ひかくてき
毛細血管	もうさいけっかん
民生委員	みんせいいいん
民間企業	みんかんきぎょう
気	き
気持	きもち
気管	きかん
水	みず
水分	すいぶん
水分摂取	すいぶんせっしゅ
水分摂取量	すいぶんせっしゅりょう
水分補給	すいぶんほきゅう
水平	すいへい
求	もとめ
汗	あせ
汚れ	よごれ
決め	きめ
決定	けってい
沈	しず
沈着	ちんちゃく
治療	ちりょう
沿	そ
泊	とま
法	ほう
法令	ほうれい
法制度	ほうせいど
法定後見	ほうていこうけん
法定雇用率	ほうていこようりつ
法律	ほうりつ
泣	なき
注意	ちゅうい
注意欠陥多動性障害	ちゅういけっかんただ動せいしょうがい
注文	ちゅうもん
洋式	ようしき
洗体用	せんたいよう
洗浄	せんじょう
洗浄水	せんじょうすい
洗濯	せんたく
洗面器	せんめんき
洗顔	せんがん
洗髪	せんぱつ
活動	かつどう
活動内容	かつどうないよう
活動制限	かつどうせいげん
活動性	かつどうせい
活性化	かっせいか
活用	かつよう
流	ながれ
浅	あさい
浮	うき
浴	よく
浴室	よくしつ
浴槽	よくそう
浴槽内	よくそうない
海外	かいがい
海馬	かいば
浸	ひたし
浸透	しんとう
消化器症状	しょうかきしょうじょう
消毒	しょうどく
消費期限	しょうひきげん
深	ふかい
深刻	しんこく
混乱	こんらん
混濁	こんだく
清拭	せいしき
清拭時	せいしきじ
清浄綿	せいじょうめん
渇	かわ
済	すみ
減弱	げんじゃく
渡	わた
温度	おんど
温度覚	おんどかく
温水	おんすい
測定	そくてい
湯	ゆ
湿度	しつど
湿気	しっけ
満足	まんぞく
準備	じゅんび
溢流性尿失禁	いつりゅうせいにょうしっきん
滴下速度	てきかそくど
漂白剤	ひょうはくざい
潜在	せんざい
災害対策基本法	さいがいたいさくきほんほう
災害時等	さいがいじとう
災害派遣福祉	さいがいはけんふくし
炎症	えんしょう
点	てん
点以下	てんいか
点字器	てんじき
点満点	てんまんてん
無反応	むはんのう
無断	むだん
無言	むごん
照	てら
熱中症	ねっちゅうしょう
熱中症対策	ねっちゅうしょうたいさく
熱傷	ねっしょう
父	ちち
父親	ちちおや
片側	かたがわ
片麻痺	かたまひ
物	もの
物忘	ものわすれ
特	とく
特別	とくべつ
特定	とくてい
特徴	とくちょう
特徴的	とくちょうてき
特有	とくゆう
犬	いぬ
状態	じょうたい
状況	じょうきょう
状結腸	じょうけっちょう
猫	ねこ
玄関前	げんかんまえ
現	あらわ
現在	げんざい
現在発語訓練	げんざいはつごくんれん
現場	げんば
現実	げんじつ
現象	げんしょう
理念	りねん
理由	りゆう
理解	りかい
環境	かんきょう
環境基本法	かんきょうきほんほう
甘	あまい
生か	いか
生じ	しょうじ
生命	せいめい
生存	せいぞん
生存権	せいぞんけん
生後	せいご
生活	せいかつ
生活介護	せいかつかいご
生活保護	せいかつほご
生活支援	せいかつしえん
生活支援員	せいかつしえんいん
生活支援技術	せいかつしえんぎじゅつ
生活様式	せいかつようしき
生活課題	せいかつかだい
生理的	せいりてき
産業医	さんぎょうい
用	よう
用具	ようぐ
用意	ようい
申	もうし
申請	しんせい
男性	だんせい
留意	りゅうい
留意点	りゅういてん
番号	ばんごう
異	ことなり
異常	いじょう
疎通	そつう
疑い	うたがい
疑っ	うたがっ
疲	つかれ
疼痛	とうつう
疾患	しっかん
病	やまい
病態	びょうたい
病状	びょうじょう
病院	びょういん
症候群	しょうこうぐん
症状	しょうじょう
痛い	いたい
痛み	いたみ
痰	たん
療育手帳	りょういくてちょう
療養	りょうよう
療養介護	りょうようかいご
発展	はってん
発汗	はっかん
発症	はっしょう
発見	はっけん
発言	はつげん
発話	はつわ
発語	はつご
発語訓練	はつごくんれん
発達	はったつ
発達障害者支援	はったつしょうがいしゃしえん
発音	はつおん
白杖	はくじょう
白髪	しらが
皮下組織	ひかそしき
皮脂腺	ひしせん
皮膚	ひふ
皮膚感覚	ひふかんかく
皿	さら
盛	もり
監督	かんとく
目	め
目印	めじるし
目安	めやす
目指	めざ
目標	もくひょう
目的	もくてき
目立	めだ
盲導犬	もうどうけん
直	ただ
直接	ちょくせつ
直接関	ちょくせつかかわ
直腸	ちょくちょう
相当	そうとう
相手	あいて
相談	そうだん
省略	しょうりゃく
看取	みとり
看護	かんご
看護師	かんごし
真皮	しんぴ
眠	ねむ
着	き
着替	きがえ
睡眠	すいみん
睡眠中	すいみんちゅう
睡眠状態	すいみんじょうたい
睡眠薬	すいみんやく
睡眠行動障害	すいみんこうどうしょうがい
睡眠障害	すいみんしょうがい
瞳孔散大	どうこうさんだい
知	し
知的	ちてき
知的障害	ちてきしょうがい
知的障害者	ちてきしょうがいしゃ
知能	ちのう
知識	ちしき
短	みじか
短時間	たんじかん
短期	たんき
短期入所	たんきにゅうしょ
短期目標	たんきもくひょう
砂糖	さとう
研究目的	けんきゅうもくてき
硬組織	こうそしき
確立	かくりつ
確認	かくにん
磨	みがき
示	しめ
社会	しゃかい
社会生活	しゃかいせいかつ
社会的	しゃかいてき
社会福祉士	しゃかいふくしし
社会福祉士及	しゃかいふくししおよび
社会福祉法	しゃかいふくしほう
社会福祉法人	しゃかいふくしほうじん
