kanji	yomi
客観的	きゃっかんてき
客観的事実	きゃっかんてきじじつ
室内	しつない
室内環境	しつないかんきょう
家	いえ
家事	かじ
家具	かぐ
家庭	かてい
家庭用加湿器	かていようかしつき
家庭菜園	かていさいえん
家族	かぞく
家族介護者	かぞくかいごしゃ
家族会	かぞくかい
家族構成	かぞくこうせい
容易	ようい
宿泊	しゅくはく
寂	さびしい
寄	よ
密封	みっぷう
密着	みっちゃく
寒	さむ
寝	ね
寝室	しんしつ
寝起	ねおき
審判	しんぱん
対	たい
対し	たいし
対光反射消失	たいこうはんしゃしょうしつ
対処	たいしょ
対処方法	たいしょほうほう
対応	たいおう
対応型共同生活介護	たいおうがたきょうどうせいかつかいご
対策	たいさく
対象	たいしょう
対象外	たいしょうがい
対象家族	たいしょうかぞく
対象者	たいしょうしゃ
対麻痺	つしまひ
専念	せんねん
専門	せんもん
専門医療	せんもんいりょう
専門医等	せんもんいとう
専門的	せんもんてき
専門職	せんもんしょく
尊厳	そんげん
尊重	そんちょう
尋	たず
導入	どうにゅう
小	ちいさ
小体型認知症	しょうたいがたにんちしょう
小学生	しょうがくせい
小弯	しょうわん
小脳	しょうのう
小腸	しょうちょう
小規模	しょうきぼ
小規模多機能型居宅介護	しょうきぼたきのうがたきょたくかいご
小遣	こづかい
少	すく
少な	すくな
少人数	しょうにんずう
少量	しょうりょう
少額	しょうがく
就寝	しゅうしん
就寝直前	しゅうしんちょくぜん
尺度	しゃくど
尿失禁	にょうしっきん
尿意	にょうい
尿量	にょうりょう
局部床	きょくぶしょう
局部床義歯	きょくぶしょうぎし
居住	きょじゅう
居住環境	きょじゅうかんきょう
居宅	きょたく
居宅介護	きょたくかいご
居宅介護事業所	きょたくかいごじぎょうしょ
居宅療養管理指導	きょたくりょうようかんりしどう
居室	きょしつ
居室環境	きょしつかんきょう
屈曲	くっきょく
届	とど
屋	や
展開	てんかい
山積	さんせき
巡回	じゅんかい
工夫	くふう
左上方	ひだりじょうほう
左下方	ひだにかほう
左下肢	ひだりかし
左側	ひだりがわ
左側斜	ひだりがわななめ
左大腿部	ひだりだいたいぶ
左心室	さしんしつ
左手	ひだりて
左斜	ひだりななめ
左片麻痺	ひだりかたまひ
左肩	ひだりかた
左袖	ひだりそで
左足	ひだりあし
巻	ま
市	し
市内	しない
市民的	しみんてき
市町村	しちょうそん
市町村長	しちょうそんちょう
市町村障害福祉計画	しちょうそんしょうがいふくしけいかく
布団	ふとん
希望	きぼう
師	し
席	せき
帯状疱疹	たいじょうほうしん
帰り	かえり
帰宅	きたく
常	つね
常時	じょうじ
常温保存	じょうおんほぞん
常駐	じょうちゅう
幅	はば
平均	へいきん
平均所得金額	へいきんしょとくきんがく
平成	へいせい
平等性	びょうどうせい
平等権	びょうどうけん
年	ねん
年以内	ねんいいない
年前	ねんまえ
年度	ねんど
年後	ねんご
年金	ねんきん
年金保険	ねんきんほけん
年金制度	ねんきんせいど
年齢	ねんれい
幻	まぼろし
幻聴	げんちょう
幻視	げんし
幽門	ゆうもん
広	ひろ
床	ゆか
床材	ゆかざい
底屈	ていくつ
店	みせ
度	ど
度程度倒	どていどたおれ
座	ざ
座薬	ざやく
座面	ざめん
庭	にわ
廃棄	はいき
廃止	はいし
廊下	ろうか
延長	えんちょう
延髄	えんずい
弁償	べんしょう
弁当	べんとう
引	ひ
引き上	ひきあ
引退	いんたい
引退後	いんたいご
弱	よわ
弱者	じゃくしゃ
張	は
強	つよ
強化	きょうか
強度	きょうど
当	とう
当て	あて
当事者	とうじしゃ
当日	とうじつ
形成	けいせい
